rue Louis Pergaud;13
rue de la Poterne des Peupliers;13
rue de Pouy;13
passage du Moulin des Prés;13
rue du Professeur Louis Renault;13
rue du Docteur Charles Richet;13
rue de Rungis;13
rue du Tage;13
rue Tagore;13
rue Neuve Tolbiac;13
port de Tolbiac;13
rue de Tolbiac;13
passage Vallet;13
passage Vandrezanne;13
place Jean Vilar;13
rue Wurtz;13
rue de l'Amiral Mouchez;13
rue de l'Amiral Mouchez;14
avenue de Provence;9
rue Riboutté;9
rue Alfred Stevens;9
rue Basse des Carmes;5
rue Censier;5
rue du Père Teilhard de Chardin;5
impasse Chartière;5
rue Clotaire;5
rue Royer-Collard;5
rue Cujas;5
rue des Grands Degrés;5
rue Flatters;5
rue de la Montagne Sainte-Geneviève;5
rue du Gril;5
rue de la Huchette;5
passage Jaillot;5
rue de Lanneau;5
cité du Cardinal Lemoine;5
rue des Lyonnais;5
port de Montebello;5
rue de l'École Polytechnique;5
place du Petit Pont;5
rue Scipion;5
rue de la Sorbonne;5
rue des Ursulines;5
rue de Valence;5
impasse des Deux Anges;6
quai des Grands Augustins;6
rue de Buci;6
rue Marie Pape-Carpantier;6
rue Palatine;6
rue Bernard Palissy;6
rue Saint-Placide;6
rue Serpente;6
rue Saint-Sulpice;6
rue Grégoire de Tours;6
rue des Saints-Pères;6
rue des Saints-Pères;7
rue de Sèvres;6
rue de Sèvres;7
rue de Sèvres;15
rue de Bellechasse;7
avenue Bosquet;7
allée Léon Bourgeois;7
avenue Joseph Bouvard;7
rue du Pré Aux Clercs;7
rue Saint-Thomas D'Aquin;7
allée Paul Deschanel;7
voie A/8;8
rue d'Aguesseau;8
cours Albert Ier;8
avenue Bertie Albrecht;8
impasse d'Antin;8
rue d'Argenson;8
rue d'Artois;8
rue Balzac;8
rue Beaujon;8
rue Bernoulli;8
rue Berryer;8
impasse du Docteur Jacques Bertillon;8
galerie Élysées-La Boëtie;8
place du Canada;8
rue de Cerisoles;8
rue Chateaubriand;8
avenue Winston Churchill;8
rue Clapeyron;8
rue de Copenhague;8
rue Corvetto;8
avenue du Général Eisenhower;8
avenue des Champs Élysées;8
rue Robert Estienne;8
rue de Florence;8
rue du Général Foy;8
voie G/8;8
avenue George V;8
